audio_id,filename,class_label,source,source_url,licence,author,date_fetched,duration_sec,sampling_rate,channels,recording_environment,recording_device,approximate_distance,original_or_augmented,parent_audio_id,segment_start_sec,segment_end_sec,sha256,dataset_split,freesound_id,fsd50k_split,fsd50k_labels,licence_url,environment_basis,fetch_batch
SS-AGG-0014,originals/aggression/SS-AGG-0014.wav,Aggression,FSD50K (Freesound clip 387478),https://freesound.org/s/387478/,CC-BY-3.0,CosmicEmbers,2026-09-23,0.554,44100,1,studio,unspecified,n/a,original,,,,d8b6bd29e15139a6aba9df2fb79626eca3c9e637e94435ac39641edbe9471efe,train,387478,dev,Thump_and_thud,http://creativecommons.org/licenses/by/3.0/,stated,fsd50k_real_v1
SS-AGG-0015,originals/aggression/SS-AGG-0015.wav,Aggression,FSD50K (Freesound clip 369619),https://freesound.org/s/369619/,CC0-1.0,Cribbler,2026-09-23,1.331,44100,1,indoor,unspecified,n/a,original,,,,7c3dbe35abc9851420e135b904cf8f21a8456ab5a2514308643581b6b574ebff,val,369619,eval,"Slam,Door,Domestic_sounds_and_home_sounds",http://creativecommons.org/publicdomain/zero/1.0/,stated,fsd50k_real_v1
SS-AGG-0016,originals/aggression/SS-AGG-0016.wav,Aggression,FSD50K (Freesound clip 144204),https://freesound.org/s/144204/,CC-BY-3.0,D W,2026-09-23,2.08,44100,1,unspecified,unspecified,n/a,original,,,,ae564da37fa26be0d52de8df6b717947d5f65518bfebfc30bc9170174994fcac,train,144204,dev,"Slam,Door,Domestic_sounds_and_home_sounds",http://creativecommons.org/licenses/by/3.0/,unmatched,fsd50k_real_v1
SS-AGG-0017,originals/aggression/SS-AGG-0017.wav,Aggression,FSD50K (Freesound clip 387981),https://freesound.org/s/387981/,CC0-1.0,DCPoke,2026-09-23,2.675,44100,1,outdoor,unspecified,n/a,original,,,,d1d5ffbe59f133ab8afed9eac6eb3e33c934ef7ccef1f884d023061b3ff96ad5,train,387981,dev,"Chirp_and_tweet,Slam,Car,Motor_vehicle_(road),Vehicle,Bird_vocalization_and_bird_call_and_bird_song,Bird,Wild_animals,Animal,Door,Domestic_sounds_and_home_sounds",http://creativecommons.org/publicdomain/zero/1.0/,inferred_from_tags,fsd50k_real_v1
SS-AGG-0018,originals/aggression/SS-AGG-0018.wav,Aggression,FSD50K (Freesound clip 125487),https://freesound.org/s/125487/,Sampling+-1.0,Dariachic,2026-09-23,2.219,44100,1,unspecified,unspecified,n/a,original,,,,1004df390bc7345b770cf4c5d12865d2d1c4d3819fd602095cce56116667810e,train,125487,dev,Thump_and_thud,http://creativecommons.org/licenses/sampling+/1.0/,unmatched,fsd50k_real_v1
SS-AGG-0019,originals/aggression/SS-AGG-0019.wav,Aggression,FSD50K (Freesound clip 151121),https://freesound.org/s/151121/,CC-BY-3.0,Dizzy Banjo,2026-09-23,3.464,44100,1,unspecified,unspecified,n/a,original,,,,42a0b25c2551c177763d7bd6e0b559138007fb656883781e5ab7f48897d3e683,test,151121,dev,"Slam,Door,Domestic_sounds_and_home_sounds",http://creativecommons.org/licenses/by/3.0/,unmatched,fsd50k_real_v1
SS-AGG-0020,originals/aggression/SS-AGG-0020.wav,Aggression,FSD50K (Freesound clip 131016),https://freesound.org/s/131016/,CC-BY-3.0,Dymewiz,2026-09-23,0.716,44100,1,outdoor,unspecified,n/a,original,,,,601e8e9a0a87784a5bcaee2ea2c9a869e15735a74eeeef6973e6738affb00225,test,131016,dev,"Slam,Door,Domestic_sounds_and_home_sounds",http://creativecommons.org/licenses/by/3.0/,inferred_from_tags,fsd50k_real_v1
SS-AGG-0021,originals/aggression/SS-AGG-0021.wav,Aggression,FSD50K (Freesound clip 114019),https://freesound.org/s/114019/,CC-BY-3.0,EdgardEdition,2026-09-23,0.303,44100,1,unspecified,unspecified,n/a,original,,,,48af71fb9f473009552b51788b6c539be452de3f03b18ff46226467cbb8f12f7,val,114019,dev,Thump_and_thud,http://creativecommons.org/licenses/by/3.0/,unmatched,fsd50k_real_v1
SS-AGG-0022,originals/aggression/SS-AGG-0022.wav,Aggression,FSD50K (Freesound clip 44261),https://freesound.org/s/44261/,CC-BY-3.0,Erdie,2026-09-23,0.933,44100,1,unspecified,unspecified,n/a,original,,,,cceeb95bc835f331fab770649a5e8c31e90fcd9eadcc25d411f96eca997a6f6c,train,44261,eval,"Shout,Human_voice",http://creativecommons.org/licenses/by/3.0/,unmatched,fsd50k_real_v1
SS-AGG-0023,originals/aggression/SS-AGG-0023.wav,Aggression,FSD50K (Freesound clip 336482),https://freesound.org/s/336482/,CC0-1.0,Faulkin,2026-09-23,1.115,44100,1,unspecified,unspecified,n/a,original,,,,0451e8b084c57ea9be812d360ed582e13581c0c50d736f4fa4c3c68475c52278,train,336482,dev,Thump_and_thud,http://creativecommons.org/publicdomain/zero/1.0/,unmatched,fsd50k_real_v1
SS-AGG-0024,originals/aggression/SS-AGG-0024.wav,Aggression,FSD50K (Freesound clip 363103),https://freesound.org/s/363103/,CC0-1.0,FractalStudios,2026-09-23,21.745,44100,1,unspecified,unspecified,n/a,original,,,,1660f727e2805c0fdb4ff95588ef5a0f1b8d6ce567a69d8cf990b32287d2ead5,train,363103,dev,"Growling,Hiss,Cat,Domestic_animals_and_pets,Animal",http://creativecommons.org/publicdomain/zero/1.0/,unmatched,fsd50k_real_v1
SS-AGG-0025,originals/aggression/SS-AGG-0025.wav,Aggression,FSD50K (Freesound clip 372531),https://freesound.org/s/372531/,CC0-1.0,Glitchedtones,2026-09-23,1.708,44100,1,unspecified,unspecified,n/a,original,,,,dc24acd9ac5edbb960aff05396fb330d8072b50224e8065156995b22149de413,val,372531,dev,"Growling,Dog,Domestic_animals_and_pets,Animal",http://creativecommons.org/publicdomain/zero/1.0/,unmatched,fsd50k_real_v1
SS-AGG-0026,originals/aggression/SS-AGG-0026.wav,Aggression,FSD50K (Freesound clip 121678),https://freesound.org/s/121678/,CC-BY-3.0,Halleck,2026-09-23,10.018,44100,1,unspecified,unspecified,n/a,original,,,,c5450a1ec36bd79fcdb32278ce2b86b733b2e0a3ece56e1310691fd35c2e6c24,train,121678,dev,Thump_and_thud,http://creativecommons.org/licenses/by/3.0/,unmatched,fsd50k_real_v1
SS-AGG-0027,originals/aggression/SS-AGG-0027.wav,Aggression,FSD50K (Freesound clip 339927),https://freesound.org/s/339927/,CC-BY-3.0,IESP,2026-09-23,14.0,44100,1,outdoor,unspecified,n/a,original,,,,94b9a563740fa7eb7a6cc1203bf2440081bdeb49a0144c86bd4fc7fa60b8e9c8,train,339927,eval,"Walk_and_footsteps,Run,Traffic_noise_and_roadway_noise,Truck,Thump_and_thud,Motor_vehicle_(road),Vehicle",http://creativecommons.org/licenses/by/3.0/,stated,fsd50k_real_v1
SS-AGG-0028,originals/aggression/SS-AGG-0028.wav,Aggression,FSD50K (Freesound clip 411789),https://freesound.org/s/411789/,CC-BY-3.0,InspectorJ,2026-09-23,1.291,44100,1,indoor,unspecified,n/a,original,,,,153ee30483866cb0df3d4dffcd87b375483fd22c08061b8b51c24fca3b2ef8bb,val,411789,dev,"Slam,Door,Domestic_sounds_and_home_sounds",http://creativecommons.org/licenses/by/3.0/,stated,fsd50k_real_v1
SS-AGG-0029,originals/aggression/SS-AGG-0029.wav,Aggression,FSD50K (Freesound clip 257049),https://freesound.org/s/257049/,CC-BY-3.0,Jagadamba,2026-09-23,4.062,44100,1,outdoor,unspecified,n/a,original,,,,b51c6844aba7fb457d967d75326faad718a578a4cadc40f300cc712bc298d744,train,257049,dev,Thump_and_thud,http://creativecommons.org/licenses/by/3.0/,stated,fsd50k_real_v1
SS-AGG-0030,originals/aggression/SS-AGG-0030.wav,Aggression,FSD50K (Freesound clip 261090),https://freesound.org/s/261090/,CC-BY-3.0,JakLocke,2026-09-23,4.389,44100,1,unspecified,unspecified,n/a,original,,,,90bc91ec858330c6fdf89bc36752f391f0f5c037f1a4b724206f6c677aebcd06,val,261090,dev,"Slam,Door,Domestic_sounds_and_home_sounds",http://creativecommons.org/licenses/by/3.0/,unmatched,fsd50k_real_v1
SS-AGG-0031,originals/aggression/SS-AGG-0031.wav,Aggression,FSD50K (Freesound clip 219480),https://freesound.org/s/219480/,CC0-1.0,JarredGibb,2026-09-23,1.448,44100,1,unspecified,unspecified,n/a,original,,,,81f090eee748a5ee30353eb10846102143267d4180a639812de5a27bd49d6af7,test,219480,dev,"Slam,Door,Domestic_sounds_and_home_sounds",http://creativecommons.org/publicdomain/zero/1.0/,unmatched,fsd50k_real_v1
SS-AGG-0032,originals/aggression/SS-AGG-0032.wav,Aggression,FSD50K (Freesound clip 383748),https://freesound.org/s/383748/,CC-BY-3.0,Jay_You,2026-09-23,0.553,44100,1,outdoor,unspecified,n/a,original,,,,1d660ab85a7dc08e083581699b27b52b5039803c7681ec0227cd962dc3957e40,train,383748,eval,Thump_and_thud,http://creativecommons.org/licenses/by/3.0/,stated,fsd50k_real_v1
SS-AGG-0033,originals/aggression/SS-AGG-0033.wav,Aggression,FSD50K (Freesound clip 426389),https://freesound.org/s/426389/,CC0-1.0,Jbricker1997,2026-09-23,2.334,44100,1,unspecified,unspecified,n/a,original,,,,7857571431eb8606d97c5a317379408ca894d0ed54d2126fdd0441f97d5f780b,train,426389,dev,"Slam,Door,Domestic_sounds_and_home_sounds",http://creativecommons.org/publicdomain/zero/1.0/,unmatched,fsd50k_real_v1
SS-AGG-0034,originals/aggression/SS-AGG-0034.wav,Aggression,FSD50K (Freesound clip 215472),https://freesound.org/s/215472/,CC0-1.0,JoeNovice,2026-09-23,8.386,44100,1,unspecified,unspecified,n/a,original,,,,8c36ca87ccf8ca91e7a3a84717e04285e2291d2ac5119d4cf8e0bf5c7d312df0,train,215472,dev,Thump_and_thud,http://creativecommons.org/publicdomain/zero/1.0/,unmatched,fsd50k_real_v1
SS-AGG-0035,originals/aggression/SS-AGG-0035.wav,Aggression,FSD50K (Freesound clip 320234),https://freesound.org/s/320234/,CC0-1.0,Kukensius,2026-09-23,19.15,44100,1,outdoor,unspecified,n/a,original,,,,51246fb4fc5aacf147c6a91391d5134c0cb4f672fb01235e74bc1a4b42e89bbc,train,320234,eval,"Male_speech_and_man_speaking,Female_speech_and_woman_speaking,Subway_and_metro_and_underground,Sliding_door,Slam,Hiss,Alarm,Speech,Human_voice,Rail_transport,Vehicle,Door,Domestic_sounds_and_home_sounds",http://creativecommons.org/publicdomain/zero/1.0/,stated,fsd50k_real_v1
SS-AGG-0036,originals/aggression/SS-AGG-0036.wav,Aggression,FSD50K (Freesound clip 153408),https://freesound.org/s/153408/,CC0-1.0,Kyodon,2026-09-23,4.807,44100,1,unspecified,unspecified,n/a,original,,,,9ef019316e94861cb53a33096b7741fa827f4dabfbe680f0327d77742750626a,train,153408,dev,"Slam,Door,Domestic_sounds_and_home_sounds",http://creativecommons.org/publicdomain/zero/1.0/,unmatched,fsd50k_real_v1
SS-AGG-0037,originals/aggression/SS-AGG-0037.wav,Aggression,FSD50K (Freesound clip 73050),https://freesound.org/s/73050/,CC-BY-3.0,LG,2026-09-23,6.351,44100,1,unspecified,unspecified,n/a,original,,,,0b6b94b07d6ae81b98a4058a0997cb9499f232cce43fbd4a8c345fd98a86df87,train,73050,dev,"Slam,Door,Domestic_sounds_and_home_sounds",http://creativecommons.org/licenses/by/3.0/,unmatched,fsd50k_real_v1
SS-AGG-0038,originals/aggression/SS-AGG-0038.wav,Aggression,FSD50K (Freesound clip 153362),https://freesound.org/s/153362/,CC0-1.0,Lau7,2026-09-23,0.531,44100,1,unspecified,unspecified,n/a,original,,,,ff58e43f426934be57b2e45aba8369e7a24149a08c677a3ba303333549466396,train,153362,dev,"Slam,Door,Domestic_sounds_and_home_sounds",http://creativecommons.org/publicdomain/zero/1.0/,unmatched,fsd50k_real_v1
SS-AGG-0039,originals/aggression/SS-AGG-0039.wav,Aggression,FSD50K (Freesound clip 323079),https://freesound.org/s/323079/,CC-BY-3.0,LiamG_SFX,2026-09-23,1.481,44100,1,unspecified,unspecified,n/a,original,,,,2e716a93e2d636b4e22d97ce2813aca2a64b2374a52500c732fa2b66d6c2e3e6,test,323079,dev,"Shout,Human_voice",http://creativecommons.org/licenses/by/3.0/,unmatched,fsd50k_real_v1
SS-AGG-0040,originals/aggression/SS-AGG-0040.wav,Aggression,FSD50K (Freesound clip 363181),https://freesound.org/s/363181/,CC0-1.0,LittleLuigi,2026-09-23,3.27,44100,1,unspecified,unspecified,n/a,original,,,,9ba426218c710cf3a601fc926cabf2c5a13de0c16b78ffc1fa28425252192953,train,363181,dev,Thump_and_thud,http://creativecommons.org/publicdomain/zero/1.0/,unmatched,fsd50k_real_v1
SS-AGG-0041,originals/aggression/SS-AGG-0041.wav,Aggression,FSD50K (Freesound clip 85809),https://freesound.org/s/85809/,CC-BY-3.0,MWLANDI,2026-09-23,2.0,44100,1,unspecified,unspecified,n/a,original,,,,a9fc76d5c7630d2bf0902a3f2072295ada6194538378f92612b61919fd292a10,val,85809,dev,"Slam,Door,Domestic_sounds_and_home_sounds",http://creativecommons.org/licenses/by/3.0/,unmatched,fsd50k_real_v1
SS-AGG-0042,originals/aggression/SS-AGG-0042.wav,Aggression,FSD50K (Freesound clip 183599),https://freesound.org/s/183599/,CC-BY-3.0,MaxDemianAGL,2026-09-23,1.283,44100,1,indoor,unspecified,n/a,original,,,,7123dec774887d046067893f26178267be11d959e7979c9af9bc862cbe336041,val,183599,dev,"Slam,Door,Domestic_sounds_and_home_sounds",http://creativecommons.org/licenses/by/3.0/,stated,fsd50k_real_v1
SS-AGG-0043,originals/aggression/SS-AGG-0043.wav,Aggression,FSD50K (Freesound clip 426585),https://freesound.org/s/426585/,CC0-1.0,MootMcnoodles,2026-09-23,2.133,44100,1,unspecified,unspecified,n/a,original,,,,954e6a0ffc24c46d6c049bb236e0f3100068e2427dd4f85363896cf635f843d4,train,426585,eval,"Rattle,Slam,Door,Domestic_sounds_and_home_sounds",http://creativecommons.org/publicdomain/zero/1.0/,unmatched,fsd50k_real_v1
SS-AGG-0044,originals/aggression/SS-AGG-0044.wav,Aggression,FSD50K (Freesound clip 996),https://freesound.org/s/996/,CC-BY-3.0,RHumphries,2026-09-23,13.268,44100,1,indoor,unspecified,n/a,original,,,,0aee99688b38909e8ed40c64e814e7910a40c2d98a5bd712501f0b72a73ff783,train,996,eval,"Sliding_door,Slam,Door,Domestic_sounds_and_home_sounds",http://creativecommons.org/licenses/by/3.0/,stated,fsd50k_real_v1
SS-AGG-0045,originals/aggression/SS-AGG-0045.wav,Aggression,FSD50K (Freesound clip 244757),https://freesound.org/s/244757/,CC0-1.0,Reitanna,2026-09-23,0.464,44100,1,unspecified,unspecified,n/a,original,,,,2adfca6e00c190a8821833d011650ea3f5e0bb039e5afe102feb7939908ce2a2,train,244757,dev,Thump_and_thud,http://creativecommons.org/publicdomain/zero/1.0/,unmatched,fsd50k_real_v1
SS-AGG-0046,originals/aggression/SS-AGG-0046.wav,Aggression,FSD50K (Freesound clip 205658),https://freesound.org/s/205658/,CC0-1.0,Soundscape_Leuphana,2026-09-23,4.161,44100,1,indoor,unspecified,n/a,original,,,,4fa6f8da1513c014811d73169b2fbe9656e450a386b9e30159778ae9f513d2de,val,205658,eval,"Squeak,Sliding_door,Slam,Door,Domestic_sounds_and_home_sounds",http://creativecommons.org/publicdomain/zero/1.0/,inferred_from_tags,fsd50k_real_v1
SS-AGG-0047,originals/aggression/SS-AGG-0047.wav,Aggression,FSD50K (Freesound clip 39560),https://freesound.org/s/39560/,CC-BY-3.0,THE_bizniss,2026-09-23,6.084,44100,1,unspecified,unspecified,n/a,original,,,,cae294c94d323082c2a6edd8c18ad1cca08be4b0cd471a163d146cc366c663de,train,39560,eval,"Drawer_open_or_close,Thump_and_thud,Domestic_sounds_and_home_sounds",http://creativecommons.org/licenses/by/3.0/,unmatched,fsd50k_real_v1
SS-AGG-0048,originals/aggression/SS-AGG-0048.wav,Aggression,FSD50K (Freesound clip 211910),https://freesound.org/s/211910/,CC-BY-3.0,Taira Komori,2026-09-23,3.216,44100,1,unspecified,unspecified,n/a,original,,,,1a9890c184173bd398cd6bc1b6636b965b62600995a75db138f913e19e1b5302,train,211910,dev,"Sliding_door,Slam,Door,Domestic_sounds_and_home_sounds",http://creativecommons.org/licenses/by/3.0/,unmatched,fsd50k_real_v1
SS-AGG-0049,originals/aggression/SS-AGG-0049.wav,Aggression,FSD50K (Freesound clip 163276),https://freesound.org/s/163276/,CC-BY-3.0,TobiasKosmos,2026-09-23,1.106,44100,1,indoor,unspecified,n/a,original,,,,3fc348b4e6c8aaf435a9facfcffef68f6ef6e8959d0a6a57d979101f2caa8f11,val,163276,dev,"Growling,Dog,Domestic_animals_and_pets,Animal",http://creativecommons.org/licenses/by/3.0/,stated,fsd50k_real_v1
SS-AGG-0050,originals/aggression/SS-AGG-0050.wav,Aggression,FSD50K (Freesound clip 96840),https://freesound.org/s/96840/,CC-BY-3.0,Tomlija,2026-09-23,2.301,44100,1,indoor,unspecified,n/a,original,,,,30f52403dbe2078a9576d62567815528bcbb8b7f82db01aaf1a2869f9d794672,train,96840,eval,"Slam,Door,Domestic_sounds_and_home_sounds",http://creativecommons.org/licenses/by/3.0/,stated,fsd50k_real_v1
SS-AGG-0051,originals/aggression/SS-AGG-0051.wav,Aggression,FSD50K (Freesound clip 31000),https://freesound.org/s/31000/,CC0-1.0,UncleSigmund,2026-09-23,4.5,44100,1,unspecified,unspecified,n/a,original,,,,feef680708f7298b15188ea4578b0c61f565bf8afd9ba138dfcd218bb08cc28b,test,31000,eval,"Shout,Human_voice",http://creativecommons.org/publicdomain/zero/1.0/,unmatched,fsd50k_real_v1
SS-AGG-0052,originals/aggression/SS-AGG-0052.wav,Aggression,FSD50K (Freesound clip 218462),https://freesound.org/s/218462/,CC-BY-3.0,Yap_Audio_Production,2026-09-23,2.142,44100,1,studio,unspecified,n/a,original,,,,1e288e8df01738c5c809f87071a4a3047ed6b94d704f3293b0a0370ca96bc5d4,train,218462,eval,"Whoosh_and_swoosh_and_swish,Thump_and_thud",http://creativecommons.org/licenses/by/3.0/,stated,fsd50k_real_v1
SS-AGG-0053,originals/aggression/SS-AGG-0053.wav,Aggression,FSD50K (Freesound clip 257897),https://freesound.org/s/257897/,CC0-1.0,Yoyodaman234,2026-09-23,5.909,44100,1,unspecified,unspecified,n/a,original,,,,6992950473880938463a83c378a2954b667affe75b90dfd3a5cefed622d5bb33,test,257897,dev,"Sliding_door,Slam,Door,Domestic_sounds_and_home_sounds",http://creativecommons.org/publicdomain/zero/1.0/,unmatched,fsd50k_real_v1
SS-AGG-0054,originals/aggression/SS-AGG-0054.wav,Aggression,FSD50K (Freesound clip 146966),https://freesound.org/s/146966/,CC0-1.0,Zabuhailo,2026-09-23,7.381,44100,1,unspecified,unspecified,n/a,original,,,,f2a7dcbeb55fcb419a241bd83956b6c887e1f16740c2d6a0daee6b4a467583c0,train,146966,dev,"Growling,Cat,Domestic_animals_and_pets,Animal",http://creativecommons.org/publicdomain/zero/1.0/,unmatched,fsd50k_real_v1
SS-AGG-0055,originals/aggression/SS-AGG-0055.wav,Aggression,FSD50K (Freesound clip 389615),https://freesound.org/s/389615/,CC0-1.0,_stubb,2026-09-23,1.733,44100,1,unspecified,unspecified,n/a,original,,,,15bab16b8c147f5409e7a29eab69639a4af26293fec228bce4a3ad9ed450f9bf,train,389615,eval,"Growling,Human_voice,Wild_animals,Animal",http://creativecommons.org/publicdomain/zero/1.0/,unmatched,fsd50k_real_v1
SS-AGG-0056,originals/aggression/SS-AGG-0056.wav,Aggression,FSD50K (Freesound clip 13853),https://freesound.org/s/13853/,CC0-1.0,adcbicycle,2026-09-23,1.09,44100,1,unspecified,unspecified,n/a,original,,,,b14105fb993b46ae2bb0d2954e3e554168663c7090bd70bbdbd130c8dc5757ae,train,13853,dev,Thump_and_thud,http://creativecommons.org/publicdomain/zero/1.0/,unmatched,fsd50k_real_v1
SS-AGG-0057,originals/aggression/SS-AGG-0057.wav,Aggression,FSD50K (Freesound clip 181936),https://freesound.org/s/181936/,CC0-1.0,aerror,2026-09-23,18.274,44100,1,outdoor,unspecified,n/a,original,,,,814619e5094db58a95dff1dcb8f9826eea8677ebc4c9917b462fcde866bb0e47,test,181936,eval,"Chirp_and_tweet,Thump_and_thud,Livestock_and_farm_animals_and_working_animals,Bird_vocalization_and_bird_call_and_bird_song,Bird,Wild_animals,Animal",http://creativecommons.org/publicdomain/zero/1.0/,inferred_from_tags,fsd50k_real_v1
SS-AGG-0058,originals/aggression/SS-AGG-0058.wav,Aggression,FSD50K (Freesound clip 207124),https://freesound.org/s/207124/,CC0-1.0,ahill86,2026-09-23,13.165,44100,1,outdoor,unspecified,n/a,original,,,,390a00952404d8e0341be05e8940a32dc66acbff0d8a9e0a3efab0c6699361c8,test,207124,eval,"Bark,Growling,Dog,Domestic_animals_and_pets,Animal",http://creativecommons.org/publicdomain/zero/1.0/,stated,fsd50k_real_v1
SS-AGG-0059,originals/aggression/SS-AGG-0059.wav,Aggression,FSD50K (Freesound clip 233001),https://freesound.org/s/233001/,CC-BY-3.0,amorralteixe,2026-09-23,4.081,44100,1,outdoor,unspecified,n/a,original,,,,7a9475c744c54342c40ec2020ec3e74aa9eced96ed0605e6f57fbb4c25cb908a,train,233001,dev,"Slam,Door,Domestic_sounds_and_home_sounds",http://creativecommons.org/licenses/by/3.0/,stated,fsd50k_real_v1
